sub,Condition,Event.Nr,CDA.AmpSum,expected_value,pe,scr
sub-204,CSplus1,9,1.1347,0.6565178239937656,-0.5441030028485122,1.1347
sub-204,CSminus1,10,0.4627,0.42578717932143384,-0.35687663736186814,0.4627
sub-204,CSplusUS1,11,1.1978,0.7390467459536595,0.5163291236234945,1.1978
sub-204,CSplus1,12,0.2327,0.6525015102237723,-0.5408748220123356,0.2327
sub-204,CSminus1,13,0.1138,0.38167071398196833,-0.3209318849806846,0.1138
sub-204,CSplus1,14,0.8587,0.5783663887104133,-0.4808877568622279,0.8587
sub-204,CSminus1,15,0.0899,0.3430526701410756,-0.28939557212768946,0.0899
sub-204,CSplus1,16,0.9608,0.514489504813145,-0.42911161542008014,0.9608
sub-204,CSplusUS1,17,1.3563,0.616387962945864,0.6158193455337342,1.3563
sub-204,CSminus1,18,0.1555,0.3091219410402051,-0.2616216929026728,0.1555
sub-204,CSminus1,19,0.438,0.279207525709329,-0.2370759945138358,0.438
sub-204,CSplus1,20,0.2105,0.5460472897269447,-0.4543550612478005,0.2105
sub-204,CSplus1,21,0.6238,0.4855648768727265,-0.4053021968875902,0.6238
sub-204,CSminus1,22,0.2088,0.25275048292875074,-0.2153134156392755,0.2088
sub-204,CSplus1,23,0.6336,0.4332628990548216,-0.36280447437483043,0.6336
sub-204,CSminus1,24,0.2081,0.2292823178077053,-0.19596077371542134,0.2081
sub-204,CSplusUS1,25,1.8436,0.5450297949992787,0.6742069145116144,1.8436
sub-204,CSplus1,26,0.6447,0.48314531682524336,-0.40276283075867525,0.6447
sub-204,CSminus1,27,0.1334,0.20840813180432302,-0.17870331392608743,0.1334
sub-204,CSplus1,28,0.8192,0.42994235368661393,-0.3595684637950661,0.8192
sub-204,CSplus1,29,0.5215,0.3839332705326367,-0.3221435128846326,0.5215
sub-204,CSminus1,30,0.1305,0.18979335021841978,-0.16327414257729903,0.1305
sub-204,CSminusUS2,31,1.4153,0.33037615536655895,0.8505541556937393,1.4153
sub-204,CSplus2,32,0.4145,0.3439383569456045,-0.2895420714709195,0.4145
sub-204,CSminus2,33,1.2027,0.2932672325389513,-0.2463770425754864,1.2027
sub-204,CSplus2,34,0.4442,0.309010156129664,-0.2610063894341069,0.4442
sub-204,CSminusUS2,35,1.1415,0.41868756263864026,0.779547440726838,1.1415
sub-204,CSminus2,36,0.3984,0.3690412831756543,-0.30738691691706155,0.3984
sub-204,CSplus2,37,0.4346,0.27837934755573107,-0.23592221697362692,0.4346
sub-204,CSminus2,38,1.0087,0.32679397934360893,-0.2731346477098536,1.0087
sub-204,CSminus2,39,0.7585,0.2905883134457426,-0.24372956537889945,0.7585
sub-204,CSplus2,40,0.4351,0.2514152614181863,-0.21378650296716187,0.4351
sub-204,CSminus2,41,0.9204,0.25936709767686794,-0.2183213056710739,0.9204
sub-204,CSminusUS2,42,1.1466,0.3895182333582159,0.8037595387428935,1.1466
sub-204,CSplus2,43,0.1296,0.22759654267331902,-0.19418357115409332,0.1296
sub-204,CSminusUS2,44,1.088,0.5009510723228758,0.7136937055986702,1.088
sub-204,CSminus2,45,0.092,0.4396869607545715,-0.363993222520055,0.092
sub-204,CSplus2,46,0.135,0.20648900002216647,-0.17676723986613713,0.135
sub-204,CSplus2,47,0.0343,0.1877286376688977,-0.16124719266662274,0.0343
sub-204,CSminus2,48,0.1321,0.387722395691916,-0.32200758262282164,0.1321
sub-204,CSplus2,49,0.0,0.17100849028388637,-0.14737844553587234,0.0
sub-204,CSminusUS2,50,0.8059,0.5005621135483184,0.7139066899909788,0.8059
sub-204,CSminus2,51,0.1055,0.44022159089391355,-0.3645281864135442,0.1055
sub-204,CSplus2,52,0.0195,0.15606829240291165,-0.1349531075018845,0.0195
sub-204,CSminus2,53,0.0653,0.38885054333268393,-0.32301781477901775,0.0653
sub-204,CSminus2,54,0.0439,0.34483398963198836,-0.287392883677412,0.0439
sub-204,CSplus2,55,0.1596,0.14268628986966458,-0.12379386546718961,0.1596
sub-204,CSminusUS2,56,1.1071,0.4641267380167901,0.743363355987595,1.1071
sub-204,CSplus2,57,0.0267,0.13067269037908505,-0.11374878272584533,0.0267
sub-204,CSminus2,58,0.0735,0.40907437958412995,-0.3392961109528712,0.0735
sub-204,CSplus2,59,0.0,0.11986438236499623,-0.10468711044262914,0.0
sub-204,CSminus2,60,0.0181,0.36207284196481465,-0.3012763647920678,0.0181
sub-204,CSminus2,61,0.0649,0.3216935447683874,-0.26855828890960676,0.0649
sub-204,CSplus2,62,0.0,0.1101206452444681,-0.09649588861966242,0.0
sub-204,CSplus2,63,0.3251,0.10131964157202888,-0.08907716832824264,0.3251
sub-204,CSminusUS2,64,0.9388,0.44403430847137926,0.7597601432603764,0.9388
sub-204,CSplus2,65,0.0469,0.09335553099132328,-0.08234572709363411,0.0469
